id,name,pop
1,California,39776830
2,Texas,28704330
3,Florida,21312211
4,New York,19862512
5,Pennsylvania,12823989
6,Illinois,12768320
7,Ohio,11694664
8,Georgia,10545138
9,North Carolina,10390149
10,Michigan,9991177
11,New Jersey,9032872
12,Virginia,8525660
13,Washington,7530552
14,Arizona,7123898
15,Massachusetts,6895917
16,Tennessee,6782564
17,Indiana,6699629
18,Missouri,6135888
19,Maryland,6079602
20,Wisconsin,5818049
21,Colorado,5684203
22,Minnesota,5628162
23,South Carolina,5088916
24,Alabama,4888949
25,Louisiana,4682509
26,Kentucky,4472265
27,Oregon,4199563
28,Oklahoma,3940521
29,Connecticut,3588683
30,Iowa,3160553
31,Utah,3159345
32,Nevada,3056824
33,Arkansas,3020327
34,Mississippi,2982785
35,Kansas,2918515
36,New Mexico,2090708
37,Nebraska,1932549
38,West Virginia,1803077
39,Idaho,1753860
40,Hawaii,1426393
41,New Hampshire,1350575
42,Maine,1341582
43,Montana,1062330
44,Rhode Island,1061712
45,Delaware,971180
46,South Dakota,877790
47,North Dakota,755238
48,Alaska,738068
49,District of Columbia,703608
50,Vermont,623960
51,Wyoming,573720
